Particulars,"Dec 31, 2020","Sep 30, 2020","Jun 30, 2020","Mar 31, 2020","Dec 31, 2019"
Total Revenue,"420,150","401,350","383,220","399,460","398,540"
"Cost of Revenue, Total","36,260","33,130","34,090","36,650","37,280"
Gross Profit,"383,890","368,220","349,130","362,810","361,260"
Total Operating Expenses,"308,310","308,370","292,740","299,210","298,800"
Operating Income,"111,840","92,980","90,480","100,250","99,740"
"Interest Income (Expense), Net Non-Operating","4,930","7,730","4,480","5,670","7,050"
Gain (Loss) on Sale of Assets,-30,60,0,120,-30
"Other, Net",180,-400,80,-920,"-1,070"
Net Income Before Taxes,"116,920","100,370","95,040","105,120","105,690"
Provision for Income Taxes,"29,650","25,330","24,550","24,190","24,260"
Net Income After Taxes,"87,270","75,040","70,490","80,930","81,430"
Minority Interest,-260,-290,-410,-440,-250
Equity In Affiliates,-,-,-,-,-
U.S GAAP Adjustment,-,-,-,-,-
Net Income Before Extraordinary Items,"87,010","74,750","70,080","80,490","81,180"
Total Extraordinary Items,-,-,-,-,-
Net Income,"87,010","74,750","70,080","80,490","81,180"
Total Adjustments to Net Income,-,-,-,-,-
Income Available to Common Excluding Extraordinary Items,"87,010","74,750","70,080","80,490","81,180"
Dilution Adjustment,-,-,-,-,-
Diluted Net Income,"87,010","74,750","70,080","80,490","81,180"
Diluted Weighted Average Shares,"3,752.38","3,752.38","3,752.38","3,752.38","3,752.38"
Diluted EPS Excluding Extraordinary Items,23.19,19.92,18.68,21.45,21.63
DPS - Common Stock Primary Issue,6,12,5,18,5
Diluted Normalized EPS,23.19,22.34,18.68,21.43,21.64
